iter	Passed	Remaining
330	1038	2099
331	1045	2102
332	1048	2099
333	1050	2095
334	1053	2092
335	1057	2089
336	1060	2087
337	1063	2082
338	1065	2077
339	1068	2073
340	1070	2069
341	1074	2067
342	1077	2063
343	1079	2058
344	1082	2055
345	1085	2051
346	1088	2047
347	1091	2044
348	1094	2041
349	1097	2037
350	1099	2033
351	1102	2030
352	1105	2026
353	1108	2022
354	1111	2018
355	1114	2015
356	1118	2014
357	1121	2011
358	1124	2008
359	1127	2004
360	1130	2000
361	1133	1998
362	1136	1995
363	1139	1991
364	1142	1987
365	1145	1983
366	1149	1981
367	1152	1978
368	1154	1974
369	1157	1971
370	1160	1968
371	1164	1966
372	1167	1963
373	1170	1959
374	1173	1955
375	1177	1954
376	1180	1950
377	1183	1947
378	1186	1943
379	1188	1939
380	1192	1936
381	1195	1934
382	1197	1929
383	1200	1925
384	1202	1921
385	1206	1918
386	1210	1917
387	1212	1913
388	1216	1910
389	1219	1906
390	1223	1906
391	1227	1904
392	1230	1900
393	1233	1897
394	1238	1897
395	1242	1894
396	1245	1891
397	1248	1887
398	1255	1891
399	1258	1888
400	1261	1883
401	1264	1880
402	1268	1879
403	1271	1875
404	1274	1872
405	1276	1867
406	1280	1865
407	1283	1862
408	1286	1858
409	1288	1854
410	1291	1850
411	1295	1849
412	1299	1846
413	1301	1842
414	1304	1838
415	1306	1834
416	1310	1831
417	1313	1828
418	1315	1824
419	1318	1820
420	1320	1816
421	1324	1813
422	1327	1810
423	1329	1806
424	1332	1802
425	1334	1798
426	1337	1794
427	1341	1793
428	1344	1789
429	1346	1785
430	1350	1782
431	1357	1784
432	1360	1781
433	1363	1778
434	1366	1774
435	1371	1774
436	1374	1771
437	1377	1767
